No,Site,Lon,Lat
1,1,-6.985366973,38.00142368
2,2,-6.985731944,38.0091331
3,3,-7.001730789,38.00900065
4,4,-7.036469925,37.93716607
5,5,-7.041209755,37.93975493
6,6,-7.051911047,37.93693545
7,7,-7.114664389,37.94269951
8,8,-7.108758773,37.94272243
9,9,-7.106456049,37.9455902
10,10,-7.107616698,37.94791369
11,11,-7.095375648,37.93580381
12,12,-7.094027884,37.93931572
13,13,-7.326165519,37.81262987
14,14,-7.307296263,37.82268752
15,15,-7.300684209,37.83213002
16,16,-7.29608148,37.83564918
17,17,-7.161965292,37.83334691
18,18,-7.157687399,37.83171332
19,19,-7.150704727,37.83055924
20,20,-7.140087742,37.82941781
21,21,-7.137974188,37.82968334
22,22,-7.124772988,37.89595122
23,23,-6.937211447,38.00501807
24,24,-6.926722503,38.01258844
25,25,-6.907816468,38.01732881
26,26,-6.908678023,38.01805558
27,27,-6.909434205,38.01818563
28,28,-6.907962218,38.01941468
29,29,-6.906086214,38.01919277
30,30,-6.883361054,38.0236646
31,31,-6.888572135,38.02582301
32,32,-6.894038138,38.02651531
33,33,-7.09878613,38.00870058
34,34,-7.105490638,38.00656398
35,35,-7.113665063,38.00176052
36,42,-6.890033266,37.86222299
37,43,-6.921399957,37.85906938
38,44,-6.934563363,37.86602998
39,45,-6.927803304,37.867623
40,46,-6.952548104,37.86075499
41,47,-6.949898258,37.8677007
42,49,-6.558253801,37.80423183
43,50,-6.576020156,37.81498363
44,51,-6.573790014,37.81329956
45,52,-6.569268148,37.81288843
46,53,-6.652903012,37.76579895
47,54,-7.193027071,37.55040901
48,55,-7.185193606,37.5424428
49,56,-7.176778086,37.55783515
50,57,-7.17670613,37.56352229
51,58,-7.056016238,37.54663653
52,59,-7.049645298,37.55390346
53,60,-6.991903686,37.65983573
54,61,-6.989832337,37.65855476
55,62,-6.966429224,37.65474322
56,63,-6.957406604,37.65243313
57,64,-6.993277521,37.81386993
58,65,-6.986799256,37.81242314
59,66,-6.958913448,37.81421604
60,67,-6.68566074,37.68771993
61,68,-6.713227514,37.67989404
62,69,-6.829943413,37.65829467
63,70,-6.849840011,37.65675263
64,71,-6.918040939,37.48845181
65,72,-6.912889371,37.49334681
66,73,-6.644467612,37.30205391
67,74,-6.642605235,37.29864556
68,75,-6.642929805,37.28269889
69,79,-6.564811395,37.18671057
70,80,-6.558323504,37.18375157
71,81,-6.477003665,37.53464346
72,82,-6.471140603,37.52513688
73,83,-6.468270965,37.52370695
74,84,-6.450819716,37.51782251
75,85,-6.452282814,37.51837053
76,86,-6.452522371,37.51039858
77,87,-6.845184816,37.47154087
78,88,-6.84318595,37.46944088
79,89,-6.784642261,37.54850899
80,90,-6.794404251,37.54751361
81,97,-7.109555487,37.99151879
82,98,-7.110946795,37.99855216
83,99,-7.110017523,38.00205259
84,100,-7.110428414,38.00436082
85,101,-7.107201701,38.00248796
86,103,-7.317656964,37.82030108
87,104,-7.312026089,37.81450215
88,105,-7.322394332,37.81392761
